Nr. crt.,Denumire,Intervale,,,,,,,,,,,,,,,Observatii,
1,TGO,< 10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,>75,Indiferent de gen (M/F),
2,TGP,< 10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,>75,Indiferent de gen (M/F),
3,Fosfataza alcalina,< 30,30-40,40-50,50-60,60-80,80-100,100-150,150-200,200-250,250-300,300-350,>350,,,,Copii: < 18 ani,VITROS
,Fosfataza alcalina,,30-40,40-50,50-60,60-80,80-100,100-150,150-200,>200,,,,,,,Adulti: >= 18 ani,
,Fosfataza alcalina,< 30,30-40,40-50,50-60,60-80,80-100,100-150,150-200,200-250,250-300,300-350,350-400,400-450,450-500,>500,Copii: < 18 ani,ALTE ECHIPAMENTE
,Fosfataza alcalina,,30-40,40-50,50-60,60-80,80-100,100-150,>150,,,,,,,,Adulti: >= 18 ani,
4,GGT,<5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,>70,Indiferent de gen (M/F),
5,CHOL,< 100,100-120,120-140,140-160,160-180,180-200,200-220,220-240,240-260,260-280,280-300,300-350,350-400,>400,,Indiferent de gen (M/F),
6,TRIG,< 50,50-70,70-90,90-110,110-130,130-150,150-170,170-190,190-500,500-1000,> 1000,,,,,Indiferent de gen (M/F),
7,HDL,< 30,30-35,35-40,40-45,45-50,50-55,55-60,65-70,70-75,75-80,>80,,,,,Indiferent de gen (M/F),
8,CA 125,< 4,4-10,10-15,15-20,20-25,25-30,30-35,35-40,40-50,>50,,,,,,,
9,CA 15.3,< 4,4-10,10-15,15-20,20-25,25-30,30-35,35-40,40-50,>50,,,,,,,
10,CA 19.9,< 4,4-10,10-15,15-20,20-25,25-30,30-35,35-40,40-50,>50,,,,,,,
11,Calciu,<5,"5,5-6","6-6,5","6,5-7","7-7,5","7,5-8","8-8,5","8,5-9","9-9,5","9,5-10","10-10,5",">10,5",,,,,
12,Magneziu,< 1,"1-1,2","1,2-1,4","1,4-1,6","1,6-1,8","1,8-2","2-2,2","2,2-2,4","2,4-2,6","2,6-2,8",">2,8",,,,,,
13,TSH,"<0,05","0,05-0,1","0,1-0,5","0,5-1","1-1,5","1,5-2","2-2,5","2,5-3","3-3,5","3,5-4","4-4,5","4,5-10",>10,,,,
